A2M ENSG00000175899
NRCAM ENSG00000091129
NRG1 ENSG00000157168
NRG2 ENSG00000158458
NRG3 ENSG00000185737
NRG4 ENSG00000169752
NRP1 ENSG00000099250
NRP2 ENSG00000118257
NRTN ENSG00000171119
NRXN1 ENSG00000179915
NRXN2 ENSG00000110076
NRXN3 ENSG00000021645
NT5E ENSG00000135318
NTF3 ENSG00000185652
NTF4 ENSG00000225950
NTN1 ENSG00000065320
NTN3 ENSG00000162068
NTN4 ENSG00000074527
NTNG1 ENSG00000162631
NTNG2 ENSG00000196358
NTRK1 ENSG00000198400
NTRK2 ENSG00000148053
NTRK3 ENSG00000140538
NTS ENSG00000133636
NTSR1 ENSG00000101188
NTSR2 ENSG00000169006
NXPH1 ENSG00000122584
NXPH2 ENSG00000144227
NXPH3 ENSG00000182575
OGFR ENSG00000060491
OLR1 ENSG00000173391
OMG ENSG00000126861
OPRD1 ENSG00000116329
OPRK1 ENSG00000082556
OPRL1 ENSG00000125510
OPRM1 ENSG00000112038
ORM1 ENSG00000229314
OSM ENSG00000099985
OSMR ENSG00000145623
OSTN ENSG00000188729
OXT ENSG00000101405
OXTR ENSG00000180914
P2RY12 ENSG00000169313
P2RY14 ENSG00000174944
PCNA ENSG00000132646
PCSK9 ENSG00000169174
PDCD1 ENSG00000188389
PDCD1LG2 ENSG00000197646
PDGFA ENSG00000197461
PDGFB ENSG00000100311
PDGFC ENSG00000145431
PDGFD ENSG00000170962
PDGFRA ENSG00000134853
PDGFRB ENSG00000113721
PDPN ENSG00000162493
PDYN ENSG00000101327
PECAM1 ENSG00000261371
PENK ENSG00000181195
PF4 ENSG00000163737
PF4V1 ENSG00000109272
PGF ENSG00000119630
PGLYRP1 ENSG00000008438
PHEX ENSG00000102174
PILRA ENSG00000085514
PILRB ENSG00000121716
PIP ENSG00000159763
PITPNM3 ENSG00000091622
PLA2G10 ENSG00000069764
PLA2G2A ENSG00000188257
PLA2R1 ENSG00000153246
PLAT ENSG00000104368
PLAU ENSG00000122861
PLAUR ENSG00000011422
PLD2 ENSG00000129219
PLG ENSG00000122194
PLGRKT ENSG00000107020
PLSCR1 ENSG00000188313
PLSCR4 ENSG00000114698
PLTP ENSG00000100979
PLXDC1 ENSG00000161381
PLXDC2 ENSG00000120594
PLXNA1 ENSG00000114554
PLXNA2 ENSG00000076356
PLXNA3 ENSG00000130827
PLXNA4 ENSG00000221866
PLXNB1 ENSG00000164050
PLXNB2 ENSG00000196576
PLXNB3 ENSG00000198753
PLXNC1 ENSG00000136040
PLXND1 ENSG00000004399
PMCH ENSG00000183395
PNOC ENSG00000168081
PODXL ENSG00000128567
PODXL2 ENSG00000114631
POMC ENSG00000115138
POSTN ENSG00000133110
PPBP ENSG00000163736
PPY ENSG00000108849
PRG4 ENSG00000116690
PRL ENSG00000172179
PRLH ENSG00000071677
PRLHR ENSG00000119973
PRLR ENSG00000113494
PRND ENSG00000171864
PROC ENSG00000115718
PROCR ENSG00000101000
PROK1 ENSG00000143125
PROK2 ENSG00000163421
PROKR1 ENSG00000169618
PROKR2 ENSG00000101292
PROS1 ENSG00000184500
PRTG ENSG00000166450
PSAP ENSG00000197746
PSEN1 ENSG00000080815
PSPN ENSG00000125650
PTCH1 ENSG00000185920
PTCH2 ENSG00000117425
PTDSS1 ENSG00000156471
PTGDR ENSG00000168229
PTGDR2 ENSG00000183134
PTGS2 ENSG00000073756
PTH ENSG00000152266
PTH1R ENSG00000160801
PTH2 ENSG00000142538
PTH2R ENSG00000144407
PTHLH ENSG00000087494
PTK7 ENSG00000112655
PTMA ENSG00000187514
PTN ENSG00000105894
PTPRB ENSG00000127329
PTPRC ENSG00000081237
PTPRD ENSG00000153707
PTPRF ENSG00000142949
PTPRG ENSG00000144724
PTPRJ ENSG00000149177
PTPRK ENSG00000152894
PTPRM ENSG00000173482
PTPRS ENSG00000105426
PTPRZ1 ENSG00000106278
PVR ENSG00000073008
PVRIG ENSG00000213413
PYY ENSG00000131096
QRFP ENSG00000188710
QRFPR ENSG00000186867
RAET1E ENSG00000164520
RAET1G ENSG00000203722
RAET1L ENSG00000155918
RAMP1 ENSG00000132329
RAMP2 ENSG00000131477
RAMP3 ENSG00000122679
RARRES2 ENSG00000106538
RBP3 ENSG00000265203
RBP4 ENSG00000138207
RELN ENSG00000189056
REN ENSG00000143839
RET ENSG00000165731
RGMA ENSG00000182175
RGMB ENSG00000174136
RHBDL2 ENSG00000158315
RLN1 ENSG00000107018
RLN2 ENSG00000107014
RLN3 ENSG00000171136
RNASE2 ENSG00000169385
RNF43 ENSG00000108375
ROBO1 ENSG00000169855
ROBO2 ENSG00000185008
ROBO3 ENSG00000154134
ROBO4 ENSG00000154133
ROR1 ENSG00000185483
ROR2 ENSG00000169071
RPH3A ENSG00000089169
RPS19 ENSG00000105372
RPSA ENSG00000168028
RSPO1 ENSG00000169218
RSPO2 ENSG00000147655
RSPO3 ENSG00000146374
RSPO4 ENSG00000101282
RTN4 ENSG00000115310
RTN4R ENSG00000040608
RTN4RL1 ENSG00000185924
RTN4RL2 ENSG00000186907
RXFP1 ENSG00000171509
RXFP2 ENSG00000133105
RXFP3 ENSG00000182631
RXFP4 ENSG00000173080
RYK ENSG00000163785
S100A8 ENSG00000143546
S100A9 ENSG00000163220
S1PR2 ENSG00000267534
SAA1 ENSG00000173432
SCARB1 ENSG00000073060
SCARF1 ENSG00000074660
SCGB1A1 ENSG00000149021
SCGB3A1 ENSG00000161055
SCGB3A2 ENSG00000164265
SCN5A ENSG00000183873
SCN8A ENSG00000196876
SCT ENSG00000070031
SCTR ENSG00000080293
SDC1 ENSG00000115884
SDC2 ENSG00000169439
SDC3 ENSG00000162512
SDC4 ENSG00000124145
SECTM1 ENSG00000141574
SELE ENSG00000007908
SELL ENSG00000188404
SELP ENSG00000174175
SELPLG ENSG00000110876
SEMA3A ENSG00000075213
SEMA3B ENSG00000012171
SEMA3C ENSG00000075223
SEMA3D ENSG00000153993
SEMA3E ENSG00000170381
SEMA3F ENSG00000001617
SEMA3G ENSG00000010319
SEMA4A ENSG00000196189
SEMA4B ENSG00000185033
SEMA4C ENSG00000168758
SEMA4D ENSG00000187764
SEMA4G ENSG00000095539
SEMA5A ENSG00000112902
SEMA6A ENSG00000092421
SEMA6B ENSG00000167680
SEMA6D ENSG00000137872
SEMA7A ENSG00000138623
SERPINA1 ENSG00000197249
SERPINC1 ENSG00000117601
SERPINE1 ENSG00000106366
SERPINE2 ENSG00000135919
SERPINF1 ENSG00000132386
SERPING1 ENSG00000149131
SERTAD1 ENSG00000197019
SFRP1 ENSG00000104332
SFRP2 ENSG00000145423
SFTPA1 ENSG00000122852
SFTPA2 ENSG00000185303
SFTPD ENSG00000133661
SHANK1 ENSG00000161681
SHH ENSG00000164690
SIGLEC1 ENSG00000088827
SIGLEC10 ENSG00000142512
SIGLEC5 ENSG00000105501
SIGLEC9 ENSG00000129450
SIRPA ENSG00000198053
SIRPB2 ENSG00000196209
SIRPG ENSG00000089012
SLAMF1 ENSG00000117090
SLAMF6 ENSG00000162739
SLAMF7 ENSG00000026751
SLC16A1 ENSG00000155380
SLC16A7 ENSG00000118596
SLC40A1 ENSG00000138449
SLIT1 ENSG00000187122
SLIT2 ENSG00000145147
SLIT3 ENSG00000184347
SLITRK1 ENSG00000178235
SLITRK2 ENSG00000185985
SLITRK3 ENSG00000121871
SLITRK5 ENSG00000165300
SLITRK6 ENSG00000184564
SLPI ENSG00000124107
SLURP1 ENSG00000126233
SMO ENSG00000128602
SNCA ENSG00000145335
SORCS3 ENSG00000156395
SORL1 ENSG00000137642
SORT1 ENSG00000134243
SOST ENSG00000167941
SOSTDC1 ENSG00000171243
SPINK1 ENSG00000164266
SPN ENSG00000197471
SPON1 ENSG00000262655
SPON2 ENSG00000159674
SPP1 ENSG00000118785
SPX ENSG00000134548
SST ENSG00000157005
SSTR1 ENSG00000139874
SSTR2 ENSG00000180616
SSTR3 ENSG00000278195
SSTR4 ENSG00000132671
SSTR5 ENSG00000162009
ST14 ENSG00000149418
ST6GAL1 ENSG00000073849
STRA6 ENSG00000137868
STX1A ENSG00000106089
TAC1 ENSG00000006128
TAC3 ENSG00000166863
TAC4 ENSG00000176358
TACR1 ENSG00000115353
TACR2 ENSG00000075073
TACR3 ENSG00000169836
TAFA4 ENSG00000163377
TBXA2R ENSG00000006638
TCN1 ENSG00000134827
TCTN1 ENSG00000204852
TDGF1 ENSG00000241186
TEK ENSG00000120156
TF ENSG00000091513
TFF2 ENSG00000160181
TFF3 ENSG00000160180
TFPI ENSG00000003436
TFR2 ENSG00000106327
TFRC ENSG00000072274
TG ENSG00000042832
TGFA ENSG00000163235
TGFB1 ENSG00000105329
TGFB2 ENSG00000092969
TGFB3 ENSG00000119699
TGFBR1 ENSG00000106799
TGFBR2 ENSG00000163513
TGFBR3 ENSG00000069702
TGM2 ENSG00000198959
THBD ENSG00000178726
THBS1 ENSG00000137801
THBS2 ENSG00000186340
THPO ENSG00000090534
THY1 ENSG00000154096
TIE1 ENSG00000066056
TIGIT ENSG00000181847
TIMD4 ENSG00000145850
TIMP1 ENSG00000102265
TIMP2 ENSG00000035862
TIMP3 ENSG00000100234
TLR2 ENSG00000137462
TLR4 ENSG00000136869
TLR5 ENSG00000187554
TLR6 ENSG00000174130
TMEM67 ENSG00000164953
TMIGD2 ENSG00000167664
TNC ENSG00000041982
TNF ENSG00000232810
TNFRSF10A ENSG00000104689
TNFRSF10B ENSG00000120889
TNFRSF10C ENSG00000173535
TNFRSF10D ENSG00000173530
TNFRSF11A ENSG00000141655
TNFRSF11B ENSG00000164761
TNFRSF12A ENSG00000006327
TNFRSF13B ENSG00000240505
TNFRSF13C ENSG00000159958
TNFRSF14 ENSG00000157873
TNFRSF17 ENSG00000048462
TNFRSF18 ENSG00000186891
TNFRSF19 ENSG00000127863
TNFRSF1A ENSG00000067182
TNFRSF1B ENSG00000028137
TNFRSF21 ENSG00000146072
TNFRSF25 ENSG00000215788
TNFRSF4 ENSG00000186827
TNFRSF6B ENSG00000243509
TNFRSF8 ENSG00000120949
TNFRSF9 ENSG00000049249
TNFSF10 ENSG00000121858
TNFSF11 ENSG00000120659
TNFSF12 ENSG00000239697
TNFSF13 ENSG00000161955
TNFSF13B ENSG00000102524
TNFSF14 ENSG00000125735
TNFSF15 ENSG00000181634
TNFSF18 ENSG00000120337
TNFSF4 ENSG00000117586
TNFSF8 ENSG00000106952
TNFSF9 ENSG00000125657
TOR2A ENSG00000160404
TREM1 ENSG00000124731
TREM2 ENSG00000095970
TRH ENSG00000170893
TRHR ENSG00000174417
TSHB ENSG00000134200
TSHR ENSG00000165409
TSLP ENSG00000145777
TSPAN1 ENSG00000117472
TYRO3 ENSG00000092445
TYROBP ENSG00000011600
UCN ENSG00000163794
UCN2 ENSG00000145040
UCN3 ENSG00000178473
ULBP1 ENSG00000111981
ULBP2 ENSG00000131015
ULBP3 ENSG00000131019
UNC5A ENSG00000113763
UNC5B ENSG00000107731
UNC5C ENSG00000182168
UNC5D ENSG00000156687
UTS2 ENSG00000049247
UTS2B ENSG00000188958
UTS2R ENSG00000181408
VASN ENSG00000168140
VASP ENSG00000125753
VCAM1 ENSG00000162692
VCAN ENSG00000038427
VEGFA ENSG00000112715
VEGFB ENSG00000173511
VEGFC ENSG00000150630
VEGFD ENSG00000165197
VIM ENSG00000026025
VIP ENSG00000146469
VIPR1 ENSG00000114812
VIPR2 ENSG00000106018
VLDLR ENSG00000147852
VSIR ENSG00000107738
VTCN1 ENSG00000134258
VTN ENSG00000109072
VWF ENSG00000110799
WNT1 ENSG00000125084
WNT10A ENSG00000135925
WNT10B ENSG00000169884
WNT11 ENSG00000085741
WNT16 ENSG00000002745
WNT2 ENSG00000105989
WNT2B ENSG00000134245
WNT3 ENSG00000108379
WNT3A ENSG00000154342
WNT4 ENSG00000162552
WNT5A ENSG00000114251
WNT5B ENSG00000111186
WNT6 ENSG00000115596
WNT7A ENSG00000154764
WNT7B ENSG00000188064
WNT8A ENSG00000061492
WNT9A ENSG00000143816
WNT9B ENSG00000158955
XCL1 ENSG00000143184
XCL2 ENSG00000143185
XCR1 ENSG00000173578
YBX1 ENSG00000065978
ZG16B ENSG00000162078
ZNRF3 ENSG00000183579
ZP3 ENSG00000188372
